State,Color
Alabama,"rgb(99, 110, 250)"
Alaska,"rgb(239, 85, 59)"
Arizona,"rgb(0, 204, 150)"
Arkansas,"rgb(171, 99, 250)"
California,"rgb(255, 161, 90)"
Colorado,"rgb(25, 211, 243)"
Connecticut,"rgb(255, 102, 146)"
Delaware,"rgb(182, 232, 128)"
District of Columbia,"rgb(255, 151, 255)"
Florida,"rgb(254, 203, 82)"
Georgia,"rgb(95, 70, 144)"
Hawaii,"rgb(29, 105, 150)"
Idaho,"rgb(56, 166, 165)"
Illinois,"rgb(15, 133, 84)"
Indiana,"rgb(115, 175, 72)"
Iowa,"rgb(237, 173, 8)"
Kansas,"rgb(225, 124, 5)"
Kentucky,"rgb(204, 80, 62)"
Louisiana,"rgb(148, 52, 110)"
Maine,"rgb(111, 64, 112)"
Montana,"rgb(102, 102, 102)"
Nebraska,"rgb(136, 204, 238)"
Nevada,"rgb(204, 102, 119)"
New Hampshire,"rgb(221, 204, 119)"
New Jersey,"rgb(17, 119, 51)"
New Mexico,"rgb(51, 34, 136)"
New York,"rgb(170, 68, 153)"
North Carolina,"rgb(68, 170, 153)"
North Dakota,"rgb(153, 153, 51)"
Ohio,"rgb(136, 34, 85)"
Oklahoma,"rgb(102, 17, 0)"
Oregon,"rgb(136, 136, 136)"
Maryland,"rgb(229, 134, 6)"
Massachusetts,"rgb(93, 105, 177)"
Michigan,"rgb(82, 188, 163)"
Minnesota,"rgb(153, 201, 69)"
Mississippi,"rgb(204, 97, 176)"
Missouri,"rgb(36, 121, 108)"
Pennsylvania,"rgb(218, 165, 27)"
Rhode Island,"rgb(47, 138, 196)"
South Carolina,"rgb(118, 78, 159)"
South Dakota,"rgb(237, 100, 90)"
Tennessee,"rgb(165, 170, 153)"
Texas,"rgb(102, 197, 204)"
Utah,"rgb(246, 207, 113)"
Vermont,"rgb(248, 156, 116)"
Virginia,"rgb(220, 176, 242)"
Washington,"rgb(135, 197, 95)"
West Virginia,"rgb(158, 185, 243)"
Wisconsin,"rgb(254, 136, 177)"
Wyoming,"rgb(201, 219, 116)"
